sta,ad,swords,axes,daggers,shield,hammers,sp,nature,fire,ice,blood,shadow,HP,crit
ad,Warforged-,Sharpened-,-of Slicing,Pointy-,Polished-,-of Thwacking,-of the Dragon,-of Raking Claws,Flaming-,Crashing-,Enraged-,Demonic-,Warrior's-,-of Surprise
swords,Sharpened-,-of the Duelist,Barbarian's-,Blademaster's-,Knight's-,Blacksmith's-,Battlemage's-,Ranger's-,-of the Fire King,-of the North,Dripping-,Warlock's-,Soldier's-,Tactician's-
axes,-of Slicing,Barbarian's-,Lumberjack's-,Mercenary's-,Viking's-,Militia's-,-of the Shaman,Woodsman's ,First Responder's-,Climber's-,-of the Executioner,VoidHunter's-,Orcish-,Berserker's-
daggers,Pointy-,Blademaster's-,Mercenary's-,-of the Assassin,Gladiator's-,Thief's-,Magician's-,Hunter's-,-of Stoking,-of the Icicle,Stabber's-,Cultist's-,Goblin-,Rogue's-
shield,Polished-,Knight's-,Viking's-,Gladiator's-,Protector's-,Defender's-,Glyphed-,Oaken-,Flaming-,Glacial-,Wartorn-,-of Warding,-of the Ram,-of Bashing
hammers,-of Thwacking,Blacksmith's-,Militia's-,Thief's-,Defender's-,-of Bludgeoning,Paladin's-,Carpenter's-,-of the Molten Forge,-of the Frozen Forge,-of Hemo-Hammering,Shadow Counselor's-,Hefty-,Commander's-
sp,-of the Dragon,Battlemage's-,-of the Shaman,Magician's-,Glyphed-,Paladin's-,Wizard's-,Druid's-,-of the Pyromancer,-of the Frost Mage,-of the Hemomancer,-of Whispers,-of Safety,-of Blasting
nature,-of Raking Claws,Ranger's-,Woodsman's- ,Hunter's-,Oaken-,Carpenter's-,Druid's-,-of the Earth,Volcanic-,Hibernal-,-of the Thornbush,Witch Doctor's-,-of the Hill Giant,Boomkin's-
fire,Flaming-,-of the Fire King,First Responder's-,-of Stoking,Flaming-,-of the Molten Forge,-of the Pyromancer,Volcanic-,Infernal-,Icy Hot-,Bloodboiled-,-of Destruction,-of the Fire Giant,Explosive-
ice,Crashing-,-of the North,Climber's-,-of the Icicle,Glacial-,-of the Frozen Forge,-of the Frost Mage,Hibernal-,Icy Hot-,Frostborn-,-of Frostbite,-of the Ice Queen,-of the Frost Giant,-of Shattering
blood,Enraged-,Dripping-,-of the Executioner,Stabber's-,Wartorn-,-of Hemo-Hammering,-of the Hemomancer,-of the Thornbush,Bloodboiled-,-of Frostbite,Vampiric-,Sacrificial-,-of the Sanguine Giant,Hemorrhaging-
shadow,Demonic-,Warlock's-,VoidHunter's-,Cultist's-,-of Warding,Shadow Counselor's-,-of Whispers,Witch Doctor's-,-of Destruction,-of the Ice Queen,Sacrificial-,-of Darkness,-of the Void Giant,-of the Dark Death
HP,Warriors-,Soldier's-,Orcish-,Goblin-,-of the Ram,Hefty-,-of Safety,-of the Hill Giant,-of the Fire Giant,-of the Frost Giant,-of the Sanguine Giant,-of the Void Giant,-of the Absolute Unit,-of Retaliation
crit,-of Surprise,Tactician's-,Berserker's-,Rogue's-,-of Bashing,Commander's-,-of Blasting,Boomkin's-,Explosive-,-of Shattering,Hemorrhaging-,-of the Dark Death,-of Retaliation,-of Precision
